vacancy_id,profession,level,required_skills,vacancy_text
1,Контент-менеджер (junior),,"['SEO', 'Копирайтинг', 'Контент', 'CMS', 'Photoshop']","Компания: ООО Городской Сервис
Город: Самара
Зарплата: 57765 руб.
О компании: ООО Городской Сервис занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание SEO
• знание Копирайтинг
• знание Контент
• знание CMS
• знание Photoshop

Обязанности:
• разработка новых решений
• ведение документации
• участие в командной разработке
"
2,Специалист по логистике (middle),,"['Маршрутизация', 'Excel', 'ERP', 'Логистика']","Компания: АО Digital Systems
Город: Пермь
Зарплата: 136757 руб.
О компании: АО Digital Systems занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 2 лет
• знание Маршрутизация
• знание Excel
• знание ERP
• знание Логистика

Обязанности:
• разработка новых решений
• работа с внутренними системами
• ведение документации
"
3,Офис-менеджер (junior),,"['Организация встреч', 'Деловая переписка', '1С', 'Документооборот']","Компания: ООО Городской Сервис
Город: Пермь
Зарплата: 69721 руб.
О компании: ООО Городской Сервис занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание Организация встреч
• знание Деловая переписка
• знание 1С
• знание Документооборот

Обязанности:
• участие в командной разработке
• разработка новых решений
• поддержка существующих решений
"
4,Специалист по логистике (senior),,"['ERP', 'Excel', 'Документооборот']","Компания: ООО ТехноСофт
Город: Санкт-Петербург
Зарплата: 197781 руб.
О компании: ООО ТехноСофт занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 4 лет
• знание ERP
• знание Excel
• знание Документооборот

Обязанности:
• участие в командной разработке
• ведение документации
• работа с внутренними системами
"
5,Системный администратор (middle),,"['Zabbix', 'Linux', 'Bash', 'VPN']","Компания: АО Медиа Платформа
Город: Новосибирск
Зарплата: 122981 руб.
О компании: АО Медиа Платформа занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 2 лет
• знание Zabbix
• знание Linux
• знание Bash
• знание VPN

Обязанности:
• работа с внутренними системами
• взаимодействие со смежными отделами
• оптимизация процессов
"
6,Инженер ПТО (junior),,"['Чтение чертежей', 'Сметы', 'Исполнительная документация']","Компания: АО Digital Systems
Город: Самара
Зарплата: 68678 руб.
О компании: АО Digital Systems занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание Чтение чертежей
• знание Сметы
• знание Исполнительная документация

Обязанности:
• ведение документации
• участие в командной разработке
• оптимизация процессов
"
7,Контент-менеджер (junior),,"['SEO', 'Копирайтинг', 'CMS', 'Photoshop']","Компания: АО Digital Systems
Город: Краснодар
Зарплата: 78048 руб.
О компании: АО Digital Systems занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание SEO
• знание Копирайтинг
• знание CMS
• знание Photoshop

Обязанности:
• поддержка существующих решений
• взаимодействие со смежными отделами
• ведение документации
"
8,Тестировщик ПО (middle),,"['Jira', 'SQL', 'Тестирование', 'API testing', 'Postman']","Компания: АО Digital Systems
Город: Санкт-Петербург
Зарплата: 117423 руб.
О компании: АО Digital Systems занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 2 лет
• знание Jira
• знание SQL
• знание Тестирование
• знание API testing
• знание Postman

Обязанности:
• оптимизация процессов
• ведение документации
• поддержка существующих решений
"
9,Системный администратор (junior),,"['Zabbix', 'Docker', 'VPN']","Компания: ООО Бизнес Партнер
Город: Новосибирск
Зарплата: 74110 руб.
О компании: ООО Бизнес Партнер занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание Zabbix
• знание Docker
• знание VPN

Обязанности:
• работа с внутренними системами
• разработка новых решений
• взаимодействие со смежными отделами
"
10,Менеджер по продажам (junior),,"['Холодные продажи', 'CRM', 'Переговоры']","Компания: ООО Интегра Софт
Город: Краснодар
Зарплата: 76975 руб.
О компании: ООО Интегра Софт занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 6 месяцев
• знание Холодные продажи
• знание CRM
• знание Переговоры

Обязанности:
• разработка новых решений
• ведение документации
• оптимизация процессов
"
11,Контент-менеджер (senior),,"['Копирайтинг', 'Photoshop', 'Контент', 'CMS', 'SEO']","Компания: АО Медиа Платформа
Город: Казань
Зарплата: 207144 руб.
О компании: АО Медиа Платформа занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 4 лет
• знание Копирайтинг
• знание Photoshop
• знание Контент
• знание CMS
• знание SEO

Обязанности:
• ведение документации
• работа с внутренними системами
• разработка новых решений
"
12,Системный администратор (middle),,"['Docker', 'VPN', 'Zabbix', 'Linux', 'Bash']","Компания: ООО Бизнес Партнер
Город: Самара
Зарплата: 97872 руб.
О компании: ООО Бизнес Партнер занимается развитием внутренних сервисов и поддержкой корпоративных проектов. Команда расширяется из-за роста количества задач и новых направлений.

Требования:
• опыт работы от 2 лет
• знание Docker
• знание VPN
• знание Zabbix
• знание Linux
• знание Bash

Обязанности:
• ведение документации
• оптимизация процессов
• разработка новых решений
"
